ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2022-09-01 00:20:42,2022-09-01 00:20:42,0.000,142.251.10.189,157.138.111.99,443,57986,TCP,...AP...,0,0,8,588,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:10.454
2022-09-01 00:20:44,2022-09-01 00:20:44,0.000,65.108.154.60,157.138.117.3,443,54606,TCP,...AP.SF,0,4,23,8055,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:08.149
2022-09-01 00:20:47,2022-09-01 00:20:47,0.000,34.120.52.64,157.138.110.231,443,50482,TCP,...AP...,0,0,8,556,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:04.374
2022-09-01 00:20:48,2022-09-01 00:22:14,86.000,192.146.155.76,157.138.81.116,443,59092,TCP,...AP.S.,0,0,25,2607,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.011
2022-09-01 00:20:49,2022-09-01 00:22:39,110.000,192.146.155.76,157.138.81.116,443,59144,TCP,...APRSF,0,0,15,1531,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.077
2022-09-01 00:20:50,2022-09-01 00:20:50,0.000,192.84.145.15,157.138.199.170,33029,1826,UDP,........,0,0,22,6595,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.020
2022-09-01 00:20:54,2022-09-01 00:20:54,0.000,109.118.115.122,157.138.7.220,50985,443,TCP,...AP..F,0,0,91,9280,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.058
2022-09-01 00:20:55,2022-09-01 00:20:55,0.000,142.251.209.35,157.138.5.26,443,57497,TCP,...AP...,0,0,42,3799,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.058
2022-09-01 00:20:56,2022-09-01 00:20:56,0.000,142.250.180.142,157.138.5.184,443,65393,TCP,...AP...,0,0,65,13869,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.063
2022-09-01 00:20:56,2022-09-01 00:22:10,74.000,216.58.209.35,157.138.65.127,443,51763,TCP,...AP...,0,0,72,5937,0,0,9,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,4,2022-09-01 00:22:04.779
