===== CBOD RESULTS =====
     sp     dp     pr  fwd  stos  ipkt   ibyt      opkt  obyt  sas  das  dtos  dir  ts_month  ts_day  ts_hour  ts_minute  ts_second  ts_msecond  te_month  te_day  te_hour  te_minute  te_second  te_msecond  tr_month  tr_day  tr_hour  tr_minute  tr_second  tr_msecond  sa1  sa2  sa3  sa4  da1  da2  da3  da4  flg_ACK  flg_PSH  flg_RST  flg_SYN  flg_FIN  sp_is_privileged  dp_is_privileged
22   57902   2000   1    0     0      6       384     0     0    0    0     0    0         8      31       14         55         42           0         8      31       14         55         42           0         8      31       14         57          1           0   64   62  197   77  157  138   22   14        0        0        0        1        0                 0                 0
26   13920   2000   1    0     0      6       384     0     0    0    0     0    0         8      31       14         55         43           0         8      31       14         55         43           0         8      31       14         57          1           0  184  105  247  254  157  138   22  199        0        0        0        0        0                 0                 0
54    8814     80   1    0     0      5       582     0     0    0    0     0    0         8      31       14         55         49           0         8      31       14         55         49           0         8      31       14         57          1           0  106   57  158   66  157  138   20   11        1        1        0        1        1                 0                 1
68    7294   2000   1    0     0      6       384     0     0    0    0     0    0         8      31       14         55         51           0         8      31       14         55         51           0         8      31       14         57          1           0   74   82   47    2  157  138   20  223        0        0        0        1        0                 0                 0
69   51366   2000   1    0     0      6       384     0     0    0    0     0    0         8      31       14         55         51           0         8      31       14         55         51           0         8      31       14         57          1           0   64   62  197  167  157  138   28  244        0        0        0        1        0                 0                 0
81       0      0   0    0   192      2       120     0     0    0    0     0    0         8      31       14         55         52           0         8      31       14         55         52           0         8      31       14         57          1           0  192  168   21    1  157  138  110  129        0        0        0        0        0                 1                 1
121  42015     23   1    0     0      2       100     0     0    0    0     0    0         8      31       14         55         56           0         8      31       14         55         56           0         8      31       14         57          1           0  113   25  219  244  157  138   22   46        0        0        0        1        0                 0                 1
153   4500   4500   2    0     0     68     12656     0     0    0    0     0    0         8      31       14         55         58           0         8      31       14         55         58           0         8      31       14         57          1           0   37  117  191  186  157  138  199   20        0        0        0        0        0                 0                 0
160    443   4918   1    0     0      6       483     0     0    0    0     0    0         8      31       14         55         58           0         8      31       14         55         58           0         8      31       14         57          1           0    3  230  231  208  157  138  164   74        1        1        0        0        0                 1                 0
175  60949     53   2    0     8      3       186     0     0    0    0     0    0         8      31       14         55         59           0         8      31       14         55         59           0         8      31       14         57          1           0  209  141   32  234  157  138   22   68        0        0        0        0        0                 0                 1
181      0      0   0    0     0     11       968     0     0    0    0     0    0         8      31       14         56          0           0         8      31       14         56          0           0         8      31       14         57          1           0  172   22  137   20  172   22    1   91        0        0        0        0        0                 1                 1
190   5959  16096   2    0     0      3       162     0     0    0    0     0    0         8      31       14         56          0           0         8      31       14         56          0           0         8      31       14         57          1           0   52   25   64  249  157  138   24  114        0        0        0        0        0                 0                 0
195  27912   2000   1    0     0      6       384     0     0    0    0     0    0         8      31       14         56          1           0         8      31       14         56          1           0         8      31       14         57          1           0   74   82   47    5  157  138   20   53        0        0        0        1        0                 0                 0
199   9282   2000   1    0     0      6       384     0     0    0    0     0    0         8      31       14         56          1           0         8      31       14         56          1           0         8      31       14         57          1           0   65   49   20   68  157  138   20   55        0        0        0        1        0                 0                 0
206   3492  16403   2    0     4      2       340     0     0    0    0     0    0         8      31       14         56          1           0         8      31       14         56          1           0         8      31       14         57          1           0   17  188  138   33  157  138  186  253        0        0        0        0        0                 0                 0
225    443   2398   1    0     0      6       336     0     0    0    0     0    0         8      31       14         56          2           0         8      31       14         56          2           0         8      31       14         57          1           0  188  172  223  103  157  138   10  100        1        1        0        0        0                 1                 0
228  32041     23   1    0     8      2       100     0     0    0    0     0    0         8      31       14         56          2           0         8      31       14         56          2           0         8      31       14         57          1           0  212  142  244  177  157  138   20   13        0        0        0        1        0                 0                 1
350   5228   4823   1    0     0      3       174     0     0    0    0     0    0         8      31       14         56         17           0         8      31       14         56         17           0         8      31       14         57          1           0  108  177  126  188  157  138  164   74        1        1        0        0        0                 0                 0
362  58225     53   2    0     8      3       186     0     0    0    0     0    0         8      31       14         56         19           0         8      31       14         56         19           0         8      31       14         57          1           0  209  141   32  234  157  138   20  230        0        0        0        0        0                 0                 1
393  18795     22   1    0     0      3       176     0     0    0    0     0    0         8      31       14         56         24           0         8      31       14         56         24           0         8      31       14         57          1           0   61  177  173   35  157  138   20   17        1        0        0        1        0                 0                 1
420  64127     80   1    0     8      6       793     0     0    0    0     0    0         8      31       14         56         27           0         8      31       14         56         27           0         8      31       14         57          1           0   45   66  209  197  157  138   20   11        1        1        0        1        1                 0                 1
422  26841    443   1    0     8     13      1471     0     0    0    0     0    0         8      31       14         56         27           0         8      31       14         56         27           0         8      31       14         57          1           0   45   66  209  197  157  138   20   11        0        0        0        0        0                 0                 1
433  41179     23   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   98  252    9  174  157  138   22   57        0        0        0        1        0                 0                 1
444  49438  10443   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  205  210   31   59  157  138   20   12        0        0        0        1        0                 0                 0
446  43196   5919   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  167   94  138  139  157  138   20   93        0        0        0        1        0                 0                 0
455  45548    427   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  197  189  212  141  157  138   20  203        0        0        0        1        0                 0                 1
457  44251     22   2    0     0      1        56     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  192  241  196  182  157  138   28  164        0        0        0        0        0                 0                 1
468  22016     23   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  114   35  147   22  157  138   20  118        0        0        0        1        0                 0                 1
469  24111  18080   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  167  248  133  136  157  138   28  183        0        0        0        1        0                 0                 0
471  43533     23   2    0     0      1        54     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  192  241  204  201  157  138   28    3        0        0        0        0        0                 0                 1
472  32906     80   1    0     4      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   45   95   55  207  157  138   20  193        0        0        0        1        0                 0                 1
483  34782   5555   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   46   72   48  113  157  138   22   39        0        0        0        1        0                 0                 0
486  65396    685   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  162  142  125  231  157  138   22  103        0        0        0        1        0                 0                 1
491  59043   5555   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   45   61  185  149  157  138   22  115        0        0        0        1        0                 0                 0
493  37753     22   2    0     0      1        56     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  192  241  196  182  157  138   22  153        0        0        0        0        0                 0                 1
495  59409   1723   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   38  132  109  112  157  138  184   40        0        0        0        1        0                 0                 0
499  42104   8189   1    0     4      1        56     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   43  129   39  176  157  138   22   60        0        0        0        1        0                 0                 0
509  33111     23   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  180  162  192  138  157  138   20  144        0        0        0        1        0                 0                 1
510  55622     22   2    0     0      1        56     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  192  241  196  182  157  138   22  112        0        0        0        0        0                 0                 1
514  60418     22   2    0     0      1        55     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  192  241  196  182  157  138   28   81        0        0        0        0        0                 0                 1
520   7148   8796   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0  172  104  138  223  157  138   24  244        0        0        0        1        0                 0                 0
530  65534  12223   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  167   94  138  146  157  138   24  155        0        0        0        1        0                 0                 0
533  65251     80   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   20  227   25   65  157  138   20  222        0        0        0        1        0                 0                 1
534  35119     53   2    0     8      1        82     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   58   53  186   90  157  138   20   12        0        0        0        0        0                 0                 1
553  42635   6556   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   46  161   27   47  157  138   24  154        0        0        0        1        0                 0                 0
556  53844   1954   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  162  142  125  232  157  138   22  218        0        0        0        1        0                 0                 0
559  31571    443   1    0     0     10      1339     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  219  140   88  238  157  138   20   11        1        1        1        1        0                 0                 1
567  55976     23   2    0     0      1        56     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  192  241  204  201  157  138   24  194        0        0        0        0        0                 0                 1
572  62954   4459   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  167  248  133  150  157  138   24  184        0        0        0        1        0                 0                 0
574  35020   1723   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   38  132  109  112  157  138   20   77        0        0        0        1        0                 0                 0
586  46196   7990   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  167   94  145   20  157  138   28   31        0        0        0        1        0                 0                 0
591  33587     23   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   14  114  196   93  157  138   28   27        0        0        0        1        0                 0                 1
597  51020   2124   1    0     4      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   89  250   82   36  157  138   28  163        0        0        0        1        0                 0                 0
603  18512     23   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  220  132  238   86  157  138   20  226        0        0        0        1        0                 0                 1
606  48683  19286   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   93  174   93  227  157  138   20  144        0        0        0        1        0                 0                 0
611  49542     23   2    0     0      1        55     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  192  241  204  201  157  138   20   62        0        0        0        0        0                 0                 1
622  20060     23   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  120  234  221   22  157  138   20  150        0        0        0        1        0                 0                 1
624  40948   6881   2    0     8      1       125     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   23   94  123  217  157  138   20    8        0        0        0        0        0                 0                 0
625  58458   8006   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  141   98   10   78  157  138   24  250        0        0        0        1        0                 0                 0
626    123    123   2    0     0      1        80     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   85  199  214   99  157  138   12   69        0        0        0        0        0                 1                 1
635  64599     23   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   58   47  106  162  157  138   24  210        0        0        0        1        0                 0                 1
636  38851     23   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  195  250  185  171  157  138   22  147        0        0        0        1        0                 0                 1
643  46188     22   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   72  167   32  248  157  138  199   19        0        0        0        1        0                 0                 1
648  42274   5353   2    0     8      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   41  214  134  201  157  138   24  251        0        0        0        0        0                 0                 0
655  19795   8081   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  185  180  143   23  157  138   24   98        0        0        0        1        0                 0                 0
658      0      0   0    0     0      1        60     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   90  147   80   10  157  138  166   40        0        0        0        0        0                 1                 1
661   8088    443   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  183  136  225   35  157  138   24   32        0        0        0        1        0                 0                 1
663      0      0   0    0   192      1        60     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  192  168   21    1  157  138  166   40        0        0        0        0        0                 1                 1
666  13344     23   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   20  232   83  194  157  138   28   97        0        0        0        1        0                 0                 1
676  52628   4643   1    0     8      2       108     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  185  220  204  178  157  138   20   73        0        0        0        1        0                 0                 0
677      0      0   0    0     0      1       124     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  151  139   94    6  157  138  166   40        0        0        0        0        0                 1                 1
685  24937     23   1    0     8      2       100     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  222  185   22   33  157  138   28  186        0        0        0        1        0                 0                 1
686  46745     23   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  183  166    4  191  157  138   24  118        0        0        0        1        0                 0                 1
688      0      0   0    0     0      1        60     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  193  206  140  137  157  138  166   40        0        0        0        0        0                 1                 1
691  55482  11211   2    0     4      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  163  172   80   40  157  138   22   82        0        0        0        0        0                 0                 0
695  45163   8139   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  185  167   97  229  157  138   20  146        0        0        0        1        0                 0                 0
705  52830   2049   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   34  146  226   12  157  138   20  124        0        0        0        1        0                 0                 0
709  34529     22   2    0     0      1        54     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0  192  241  196  182  157  138   24    2        0        0        0        0        0                 0                 1
711      0      0   0    0     0      1       172     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   90  147   80    5  157  138  166   40        0        0        0        0        0                 1                 1
714  55360     22   2    0     0      1        54     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  192  241  196  182  157  138   20    5        0        0        0        0        0                 0                 1
715  35845     23   2    0     0      1        55     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  192  241  204  201  157  138   24   61        0        0        0        0        0                 0                 1
716  45419     23   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  107  144   53   46  157  138   24  109        0        0        0        1        0                 0                 1
724  57239   5901   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  192  145  127   42  157  138   20  247        0        0        0        1        0                 0                 0
730  33381     23   2    0     0      1        56     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  192  241  204  201  157  138   20  100        0        0        0        0        0                 0                 1
731  32443   5684   2    0     8      1       171     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  167  248  133  140  157  138   24  163        0        0        0        0        0                 0                 0
734  63179  21245   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  167  248  133  168  157  138   22   14        0        0        0        1        0                 0                 0
735  15478    540   1    0     0      1        56     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   43  130   11  228  157  138   22  102        0        0        0        1        0                 0                 1
737  50531     80   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   35  233   19    6  157  138   24   82        0        0        0        1        0                 0                 1
738  51981   5007   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  162  142  125  241  157  138   20   27        0        0        0        1        0                 0                 0
742  50057   3977   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  141   98   10  117  157  138   22    0        0        0        0        1        0                 0                 0
747  51020   1258   1    0     4      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   89  250   82   36  157  138   28  216        0        0        0        1        0                 0                 0
752  57239   5900   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  192  145  127   42  157  138   20  247        0        0        0        1        0                 0                 0
753  33911     22   2    0     0      1        55     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  192  241  196  182  157  138   24   84        0        0        0        0        0                 0                 1
760  23320   2083   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  185  142  236   36  157  138   20  154        0        0        0        1        0                 0                 0
764  39452   7173   1    0     4      1        56     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   43  129   33   99  157  138   20  137        0        0        0        1        0                 0                 0
773  45271   2083   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  167   94  145   83  157  138   20  190        0        0        0        1        0                 0                 0
777  65038     23   1    0     0      2       100     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  180  116   11  219  157  138   24  169        0        0        0        1        0                 0                 1
784  36152     98   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  193  163  125   40  157  138   22  239        0        0        0        1        0                 0                 1
786   1476    443   1    0    16      1        64     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  109  118  127   42  157  138  199   19        0        0        0        1        0                 0                 1
787  37728     22   2    0     0      1        56     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0  192  241  196  182  157  138   22  162        0        0        0        0        0                 0                 1
789  54565   2323   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0    1   70    8  172  157  138   22  170        0        0        0        1        0                 0                 0
790  62982   3389   1    0     8      1        52     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   89   38  145  186  157  138   22   56        0        0        0        1        0                 0                 0
795  54713   5000   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  198  235   24  163  157  138   24  194        0        0        0        1        0                 0                 0
