===== CBOD RESULTS =====
     sp     dp     pr  fwd  stos  ipkt   ibyt      opkt  obyt  sas  das  dtos  dir  ts_month  ts_day  ts_hour  ts_minute  ts_second  ts_msecond  te_month  te_day  te_hour  te_minute  te_second  te_msecond  tr_month  tr_day  tr_hour  tr_minute  tr_second  tr_msecond  sa1  sa2  sa3  sa4  da1  da2  da3  da4  flg_ACK  flg_PSH  flg_RST  flg_SYN  flg_FIN  sp_is_privileged  dp_is_privileged
431  36747  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   24  231        0        0        0        0        0                 0                 0
436  42158  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   22   76        0        0        0        0        0                 0                 0
441  33234  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   20  212        0        0        0        0        0                 0                 0
447  45754  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   28   12        0        0        0        0        0                 0                 0
450  36428  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   20  126        0        0        0        0        0                 0                 0
454  43268  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   24  122        0        0        0        0        0                 0                 0
456  40157  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   22  230        0        0        0        0        0                 0                 0
464  46740  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   24   37        0        0        0        0        0                 0                 0
465  53959  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   28   42        0        0        0        0        0                 0                 0
479  33462  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   20    6        0        0        0        0        0                 0                 0
480  45285  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   24   46        0        0        0        0        0                 0                 0
488  35575  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   20  252        0        0        0        0        0                 0                 0
490  39868  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   20  219        0        0        0        0        0                 0                 0
492  36888  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   20    7        0        0        0        0        0                 0                 0
496  53808  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   24  212        0        0        0        0        0                 0                 0
501  39171  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   24  249        0        0        0        0        0                 0                 0
513  41382  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   22   47        0        0        0        0        0                 0                 0
515  33793  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   20  139        0        0        0        0        0                 0                 0
518  57415  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         28           0         8      31       14         56         28           0         8      31       14         57          1           0   94  102   61   31  157  138   20   24        0        0        0        0        0                 0                 0
521  49594  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   22  101        0        0        0        0        0                 0                 0
527  42612  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   24   55        0        0        0        0        0                 0                 0
528  33638  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   20   57        0        0        0        0        0                 0                 0
538  35923  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   24  247        0        0        0        0        0                 0                 0
542  59007  52823   1    0     4      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  163  172   33   89  157  138   24   74        0        0        0        1        0                 0                 0
543  46875  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   20  202        0        0        0        0        0                 0                 0
544  59671  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   28   27        0        0        0        0        0                 0                 0
545  55192  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   24  186        0        0        0        0        0                 0                 0
550  39864  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   24  182        0        0        0        0        0                 0                 0
558  35064  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   28  254        0        0        0        0        0                 0                 0
563  49744  40544   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0    2   57  122  225  157  138   28  208        0        0        0        1        0                 0                 0
565  32885  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   22  214        0        0        0        0        0                 0                 0
570  57812  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   20  185        0        0        0        0        0                 0                 0
573  60386  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   24  190        0        0        0        0        0                 0                 0
582  53535  57875   2    0     8      4       712     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   91  228  167   43  157  138  107  102        0        0        0        0        0                 0                 0
585  46367  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   20  176        0        0        0        0        0                 0                 0
587  45258  33891   1    0     4      1        50     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0  113  196  124   11  157  138   24    4        0        0        0        1        0                 0                 0
596  59329  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   28  215        0        0        0        0        0                 0                 0
602  53535  57874   2    0     8      4       712     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   91  228  167   43  157  138  107  102        0        0        0        0        0                 0                 0
607  35742  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   28   52        0        0        0        0        0                 0                 0
608  58355  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   24   84        0        0        0        0        0                 0                 0
614  55542  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   24  206        0        0        0        0        0                 0                 0
617  47059  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   28  228        0        0        0        0        0                 0                 0
619  41974  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         29           0         8      31       14         56         29           0         8      31       14         57          1           0   94  102   61   31  157  138   22   88        0        0        0        0        0                 0                 0
629  55646  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   22  179        0        0        0        0        0                 0                 0
632  38848  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   28  158        0        0        0        0        0                 0                 0
638  40545  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   24   96        0        0        0        0        0                 0                 0
644  50633  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   20   30        0        0        0        0        0                 0                 0
646  43022  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   22   42        0        0        0        0        0                 0                 0
650  56752  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   20  243        0        0        0        0        0                 0                 0
652  54026  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   20  141        0        0        0        0        0                 0                 0
654  36732  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   20  164        0        0        0        0        0                 0                 0
656  32978  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   28  226        0        0        0        0        0                 0                 0
659  54687  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   24   16        0        0        0        0        0                 0                 0
660  48329  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   20   49        0        0        0        0        0                 0                 0
673  39733  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   28  225        0        0        0        0        0                 0                 0
678  49507  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   24  251        0        0        0        0        0                 0                 0
681  58145  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   28   80        0        0        0        0        0                 0                 0
687  41667  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   22  164        0        0        0        0        0                 0                 0
692  53910  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   24   60        0        0        0        0        0                 0                 0
699  42121  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   28    7        0        0        0        0        0                 0                 0
703  35901  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         30           0         8      31       14         56         30           0         8      31       14         57          1           0   94  102   61   31  157  138   28  237        0        0        0        0        0                 0                 0
719  49340  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   20  242        0        0        0        0        0                 0                 0
725  48129  30003   1    0     4      1        50     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   45  143  203   59  157  138   22  238        0        0        0        1        0                 0                 0
727  58097  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         31           0         8      31       14         56         31           0         8      31       14         57          1           0   94  102   61   31  157  138   20  204        0        0        0        0        0                 0                 0
