,stos,tr_minute,sa1,flg_ACK,tr_month,ts_msecond,te_minute,tr_msecond,obyt,pr,te_second,sa4,tr_hour,sp   ,flg_PSH,tr_second,sa3,da1,ipkt ,dir,te_hour,sa2,flg_SYN,flg_FIN,ts_second,opkt,fwd,da2,outlier,da3,te_day,te_month,flg_RST,te_msecond,ts_month,tr_day,ibyt    ,das,ts_minute,ts_day,da4,ts_hour,sas,sp_is_privileged,dp_is_privileged,dp   ,dtos
0,0,57,185,1,8,0,55,0,0,1,33,186,14,443,0,1,81,157,3,0,14,48,1,0,33,0,0,138,0,165,31,8,0,0,8,31,168,0,55,31,67,14,0,1,0,62189,0
1,4,57,17,1,8,0,55,0,0,1,34,119,14,443,1,1,56,157,18,0,14,253,1,1,34,0,0,138,0,187,31,8,0,0,8,31,6414,0,55,31,108,14,0,1,0,64560,0
2,0,57,18,1,8,0,55,0,0,1,34,40,14,443,1,1,55,157,12,0,14,169,0,1,34,0,0,138,0,187,31,8,0,0,8,31,932,0,55,31,236,14,0,1,0,60060,0
3,0,57,142,0,8,0,55,0,0,2,35,142,14,443,0,1,180,157,13447,0,14,250,0,0,35,0,0,138,0,187,31,8,0,0,8,31,14841309,0,55,31,138,14,0,1,0,57028,0
4,0,57,74,1,8,0,55,0,0,1,35,108,14,993,1,1,143,157,10,0,14,125,0,1,35,0,0,138,0,167,31,8,0,0,8,31,752,0,55,31,22,14,0,1,0,59948,0
5,0,57,23,1,8,0,55,0,0,1,35,21,14,443,1,1,77,157,4,0,14,1,0,1,35,0,0,138,0,20,31,8,0,0,8,31,218,0,55,31,97,14,0,1,0,50408,0
6,0,57,173,1,8,0,55,0,0,1,36,170,14,443,1,1,182,157,6577,0,14,194,0,1,36,0,0,138,0,110,31,8,0,0,8,31,9499310,0,55,31,129,14,0,1,0,55456,0
7,4,57,87,1,8,0,55,0,0,1,36,252,14,443,1,1,119,157,4,0,14,248,0,1,36,0,0,138,0,65,31,8,0,0,8,31,218,0,55,31,127,14,0,1,0,62115,0
8,0,57,142,1,8,0,55,0,0,1,37,170,14,443,1,1,180,157,34,0,14,250,0,0,37,0,0,138,0,130,31,8,0,0,8,31,6729,0,55,31,175,14,0,1,0,63242,0
9,0,57,142,0,8,0,55,0,0,2,37,78,14,443,0,1,184,157,29,0,14,250,0,0,37,0,0,138,0,167,31,8,0,0,8,31,5864,0,55,31,44,14,0,1,0,56820,0
