,tr_msecond,te_day,te_minute,te_second,flg_RST,tr_second,sa2,ts_day,te_hour,tr_minute,pr,tr_day,ibyt    ,dtos,ts_msecond,flg_PSH,tr_month,ts_second,te_msecond,flg_ACK,flg_SYN,da3,dp_is_privileged,das,sp_is_privileged,sa3,tr_hour,ts_month,obyt,te_month,sa4,outlier,ts_minute,flg_FIN,sas,stos,opkt,ts_hour,da2,da1,fwd,ipkt ,sp   ,dir,sa1,da4,dp   
0,0,31,55,33,0,1,48,31,14,57,1,31,168,0,0,0,8,33,0,1,1,165,0,0,1,81,14,8,0,8,186,0,55,0,0,0,0,14,138,157,0,3,443,0,185,67,62189
1,0,31,55,34,0,1,253,31,14,57,1,31,6414,0,0,1,8,34,0,1,1,187,0,0,1,56,14,8,0,8,119,0,55,1,0,4,0,14,138,157,0,18,443,0,17,108,64560
2,0,31,55,34,0,1,169,31,14,57,1,31,932,0,0,1,8,34,0,1,0,187,0,0,1,55,14,8,0,8,40,0,55,1,0,0,0,14,138,157,0,12,443,0,18,236,60060
3,0,31,55,35,0,1,250,31,14,57,2,31,14841309,0,0,0,8,35,0,0,0,187,0,0,1,180,14,8,0,8,142,0,55,0,0,0,0,14,138,157,0,13447,443,0,142,138,57028
4,0,31,55,35,0,1,125,31,14,57,1,31,752,0,0,1,8,35,0,1,0,167,0,0,1,143,14,8,0,8,108,0,55,1,0,0,0,14,138,157,0,10,993,0,74,22,59948
5,0,31,55,35,0,1,1,31,14,57,1,31,218,0,0,1,8,35,0,1,0,20,0,0,1,77,14,8,0,8,21,0,55,1,0,0,0,14,138,157,0,4,443,0,23,97,50408
6,0,31,55,36,0,1,194,31,14,57,1,31,9499310,0,0,1,8,36,0,1,0,110,0,0,1,182,14,8,0,8,170,0,55,1,0,0,0,14,138,157,0,6577,443,0,173,129,55456
7,0,31,55,36,0,1,248,31,14,57,1,31,218,0,0,1,8,36,0,1,0,65,0,0,1,119,14,8,0,8,252,0,55,1,0,4,0,14,138,157,0,4,443,0,87,127,62115
8,0,31,55,37,0,1,250,31,14,57,1,31,6729,0,0,1,8,37,0,1,0,130,0,0,1,180,14,8,0,8,170,0,55,0,0,0,0,14,138,157,0,34,443,0,142,175,63242
9,0,31,55,37,0,1,250,31,14,57,2,31,5864,0,0,0,8,37,0,0,0,167,0,0,1,184,14,8,0,8,78,0,55,0,0,0,0,14,138,157,0,29,443,0,142,44,56820
10,0,31,55,37,0,1,184,31,14,57,1,31,166286,0,0,1,8,37,0,1,1,164,0,0,1,220,14,8,0,8,66,0,55,1,0,6,0,14,138,157,0,143,443,0,93,146,54478
11,0,31,55,37,0,1,75,31,14,57,1,31,425,0,0,1,8,37,0,1,0,167,0,0,1,62,14,8,0,8,217,0,55,1,0,0,0,14,138,157,0,6,443,0,146,246,54170
12,0,31,55,37,0,1,240,31,14,57,1,31,1926,0,0,1,8,37,0,1,1,167,0,0,0,231,14,8,0,8,61,0,55,1,0,0,0,14,138,157,0,21,5222,0,157,146,51267
13,0,31,55,39,0,1,236,31,14,57,1,31,5375,0,0,1,8,39,0,1,1,23,0,0,1,176,14,8,0,8,210,0,55,1,0,0,0,14,138,157,0,16,443,0,15,26,61057
14,0,31,55,39,0,1,194,31,14,57,1,31,3668,0,0,1,8,39,0,1,1,187,0,0,1,79,14,8,0,8,108,0,55,1,0,0,0,14,138,157,0,23,993,0,173,200,52464
15,0,31,55,39,1,1,89,31,14,57,1,31,106,0,0,0,8,39,0,1,0,186,0,0,1,178,14,8,0,8,26,0,55,0,0,0,0,14,138,157,0,2,443,0,13,125,57967
16,0,31,55,40,0,1,240,31,14,57,1,31,772,0,0,1,8,40,0,1,0,184,0,0,1,231,14,8,0,8,16,0,55,1,0,0,0,14,138,157,0,11,443,0,157,79,40704
17,0,31,55,40,0,1,250,31,14,57,1,31,10397,0,0,1,8,40,0,1,0,24,0,0,1,180,14,8,0,8,138,0,55,0,0,0,0,14,138,157,0,21,443,0,142,107,49970
18,0,31,55,41,0,1,250,31,14,57,1,31,3024,0,0,1,8,41,0,1,0,110,0,0,1,184,14,8,0,8,42,0,55,1,0,0,0,14,138,157,0,24,443,0,142,129,55126
19,0,31,55,41,0,1,186,31,14,57,1,31,6531,0,0,1,8,41,0,1,1,22,0,0,1,228,14,8,0,8,49,0,55,1,0,0,0,14,138,157,0,10,443,0,35,6,51278
20,0,31,55,41,0,1,95,31,14,57,1,31,344,0,0,0,8,41,0,1,1,179,0,0,1,188,14,8,0,8,49,0,55,1,0,0,0,14,138,157,0,6,443,0,194,84,49711
21,0,31,55,41,0,1,1,31,14,57,1,31,40056,0,0,1,8,41,0,1,1,110,0,0,1,69,14,8,0,8,230,0,55,0,0,0,0,14,138,157,0,34,443,0,23,111,34374
22,0,31,55,42,0,1,62,31,14,57,1,31,384,0,0,0,8,42,0,0,1,22,0,0,0,197,14,8,0,8,77,0,55,0,0,0,0,14,138,157,0,6,57902,0,64,14,2000
23,0,31,55,42,1,1,229,31,14,57,1,31,162,0,0,0,8,42,0,1,0,165,0,0,1,88,14,8,0,8,153,0,55,1,0,0,0,14,138,157,0,3,443,0,54,221,50850
24,0,31,55,42,0,1,228,31,14,57,1,31,2849,0,0,1,8,42,0,1,1,107,0,0,1,166,14,8,0,8,46,0,55,1,0,0,0,14,138,157,0,6,80,0,91,73,61476
25,0,31,55,43,0,1,250,31,14,57,1,31,223,0,0,1,8,43,0,1,0,164,0,0,1,180,14,8,0,8,170,0,55,1,0,0,0,14,138,157,0,3,443,0,142,245,55124
26,0,31,55,43,0,1,105,31,14,57,1,31,384,0,0,0,8,43,0,0,0,22,0,0,0,247,14,8,0,8,254,0,55,0,0,0,0,14,138,157,0,6,13920,0,184,199,2000
27,0,31,55,44,0,1,89,31,14,57,1,31,7203,0,0,1,8,44,0,1,1,187,0,0,1,179,14,8,0,8,9,0,55,0,0,2,0,14,138,157,0,9,443,0,13,200,54013
28,0,31,55,44,0,1,239,31,14,57,1,31,6823,0,0,1,8,44,0,1,1,167,0,0,1,34,14,8,0,8,36,0,55,0,0,0,0,14,138,157,0,18,443,0,216,148,51551
29,0,31,55,45,0,1,11,31,14,57,1,31,11202,0,0,1,8,45,0,1,1,167,0,0,1,118,14,8,0,8,111,0,55,1,0,0,0,14,138,157,0,14,443,0,51,164,51053
30,0,31,55,45,0,1,250,31,14,57,2,31,3215,0,0,0,8,45,0,0,0,167,0,0,1,184,14,8,0,8,35,0,55,0,0,0,0,14,138,157,0,9,443,0,142,94,59876
31,0,31,55,45,0,1,250,31,14,57,1,31,1858,0,0,1,8,45,0,1,1,166,0,0,1,184,14,8,0,8,106,0,55,0,0,0,0,14,138,157,0,11,443,0,142,156,38088
32,0,31,55,45,0,1,42,31,14,57,1,31,621,0,0,1,8,45,0,1,0,167,0,0,1,72,14,8,0,8,131,0,55,0,0,0,0,14,138,157,0,3,443,0,20,139,61733
33,0,31,55,45,1,1,69,31,14,57,1,31,106,0,0,0,8,45,0,1,0,165,0,0,1,48,14,8,0,8,193,0,55,0,0,0,0,14,138,157,0,2,443,0,13,176,58560
34,0,31,55,46,0,1,98,31,14,57,1,31,7041,0,0,1,8,46,0,1,1,165,0,0,1,168,14,8,0,8,178,0,55,0,0,2,0,14,138,157,0,8,443,0,52,200,64072
35,0,31,55,46,0,1,58,31,14,57,1,31,19654,0,0,1,8,46,0,1,0,186,0,0,1,209,14,8,0,8,37,0,55,0,0,0,0,14,138,157,0,39,443,0,216,125,57841
36,0,31,55,46,1,1,83,31,14,57,1,31,529,0,0,1,8,46,0,1,1,20,0,0,0,137,14,8,0,8,118,0,55,0,0,0,0,14,138,157,0,6,2703,0,208,12,57780
37,0,31,55,47,0,1,186,31,14,57,1,31,6310,0,0,1,8,47,0,1,1,22,0,0,1,228,14,8,0,8,49,0,55,1,0,0,0,14,138,157,0,10,443,0,35,6,42324
38,0,31,55,47,0,1,66,31,14,57,1,31,307,0,0,1,8,47,0,1,0,12,0,0,1,218,14,8,0,8,90,0,55,1,0,0,0,14,138,157,0,5,443,0,18,93,63878
39,0,31,55,47,0,1,240,31,14,57,2,31,5574,0,0,0,8,47,0,0,0,166,0,0,1,231,14,8,0,8,15,0,55,0,0,0,0,14,138,157,0,11,443,0,157,6,46111
40,0,31,55,47,0,1,250,31,14,57,2,31,5405,0,0,0,8,47,0,0,0,167,0,0,1,180,14,8,0,8,142,0,55,0,0,0,0,14,138,157,0,23,443,0,142,3,55148
41,0,31,55,47,0,1,240,31,14,57,1,31,464,0,0,1,8,47,0,1,0,110,0,0,1,231,14,8,0,8,60,0,55,0,0,0,0,14,138,157,0,4,443,0,157,26,51695
42,0,31,55,48,0,1,251,31,14,57,1,31,223,0,0,1,8,48,0,1,0,12,0,0,1,10,14,8,0,8,100,0,55,1,0,0,0,14,138,157,0,3,443,0,142,38,54694
43,0,31,55,48,0,1,250,31,14,57,2,31,2916,0,0,0,8,48,0,0,0,176,0,0,1,184,14,8,0,8,106,0,55,0,0,0,0,14,138,157,0,9,443,0,142,181,60836
44,0,31,55,48,0,1,73,31,14,57,1,31,8419,0,0,1,8,48,0,1,1,24,0,0,1,130,14,8,0,8,64,0,55,1,0,0,0,14,138,157,0,10,443,0,20,32,53030
45,0,31,55,48,0,1,248,31,14,57,1,31,10703,0,0,1,8,48,0,1,1,185,0,0,1,248,14,8,0,8,6,0,55,0,0,4,0,14,138,157,0,18,443,0,17,31,53772
46,0,31,55,48,0,1,212,31,14,57,1,31,5624,0,0,1,8,48,0,1,1,166,0,0,1,207,14,8,0,8,78,0,55,0,0,8,0,14,138,157,0,13,443,0,35,254,64581
47,0,31,55,48,0,1,107,31,14,57,1,31,5549,0,0,1,8,48,0,1,1,178,0,0,1,42,14,8,0,8,12,0,55,0,0,0,0,14,138,157,0,14,443,0,13,37,62456
48,0,31,55,49,0,1,95,31,14,57,1,31,9771,0,0,1,8,49,0,1,1,179,0,0,1,188,14,8,0,8,49,0,55,1,0,2,0,14,138,157,0,14,443,0,194,84,49713
49,0,31,55,49,0,1,250,31,14,57,2,31,85557,0,0,0,8,49,0,0,0,179,0,0,1,184,14,8,0,8,34,0,55,0,0,0,0,14,138,157,0,74,443,0,142,110,59695
50,0,31,55,49,0,1,50,31,14,57,1,31,8376,0,0,1,8,49,0,1,1,177,0,0,1,201,14,8,0,8,195,0,55,0,0,0,0,14,138,157,0,14,443,0,20,66,54855
51,0,31,55,49,0,1,58,31,14,57,1,31,10783,0,0,1,8,49,0,1,1,179,0,0,1,209,14,8,0,8,54,0,55,0,0,0,0,14,138,157,0,18,443,0,216,0,50291
52,0,31,55,49,0,1,250,31,14,57,1,31,223,0,0,1,8,49,0,1,0,35,0,0,1,180,14,8,0,8,142,0,55,1,0,0,0,14,138,157,0,3,443,0,142,213,56941
53,0,31,55,49,1,1,123,31,14,57,1,31,381,0,0,1,8,49,0,1,0,24,0,0,1,113,14,8,0,8,35,0,55,1,0,0,0,14,138,157,0,6,443,0,92,107,49962
54,0,31,55,49,0,1,57,31,14,57,1,31,582,0,0,1,8,49,0,1,1,20,1,0,0,158,14,8,0,8,66,0,55,1,0,0,0,14,138,157,0,5,8814,0,106,11,80
55,0,31,55,49,0,1,250,31,14,57,1,31,2996,0,0,1,8,49,0,1,0,71,0,0,1,184,14,8,0,8,106,0,55,0,0,0,0,14,138,157,0,41,443,0,142,90,55509
56,0,31,55,50,0,1,12,31,14,57,1,31,661,0,0,1,8,50,0,1,0,165,0,0,1,106,14,8,0,8,22,0,55,0,0,2,0,14,138,157,0,4,443,0,23,200,64077
57,0,31,55,50,0,1,113,31,14,57,1,31,9792,0,0,1,8,50,0,1,1,167,0,0,1,194,14,8,0,8,132,0,55,1,0,0,0,14,138,157,0,26,443,0,52,152,51136
58,0,31,55,50,0,1,44,31,14,57,1,31,5442,0,0,1,8,50,0,1,1,138,0,0,1,10,14,8,0,8,122,0,55,1,0,0,0,14,138,157,0,10,443,0,20,137,61181
59,0,31,55,50,0,1,189,31,14,57,1,31,5922,0,0,1,8,50,0,1,1,138,0,0,1,173,14,8,0,8,12,0,55,1,0,0,0,14,138,157,0,12,443,0,20,137,61180
