sp   ,dp   ,pr,fwd,stos,ipkt ,ibyt    ,opkt,obyt,sas,das,dtos,dir,ts_month,ts_day,ts_hour,ts_minute,ts_second,ts_msecond,te_month,te_day,te_hour,te_minute,te_second,te_msecond,tr_month,tr_day,tr_hour,tr_minute,tr_second,tr_msecond,sa1,sa2,sa3,sa4,da1,da2,da3,da4,flg_ACK,flg_PSH,flg_RST,flg_SYN,flg_FIN,sp_is_privileged,dp_is_privileged
443  ,62189,1 ,0  ,0   ,3    ,168     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,33       ,0         ,8       ,31    ,14     ,55       ,33       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,185,48 ,81 ,186,157,138,165,67 ,1      ,0      ,0      ,1      ,0      ,1               ,0
443  ,64560,1 ,0  ,4   ,18   ,6414    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,34       ,0         ,8       ,31    ,14     ,55       ,34       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,17 ,253,56 ,119,157,138,187,108,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,60060,1 ,0  ,0   ,12   ,932     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,34       ,0         ,8       ,31    ,14     ,55       ,34       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,18 ,169,55 ,40 ,157,138,187,236,1      ,1      ,0      ,0      ,1      ,1               ,0
443  ,57028,2 ,0  ,0   ,13447,14841309,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,35       ,0         ,8       ,31    ,14     ,55       ,35       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,180,142,157,138,187,138,0      ,0      ,0      ,0      ,0      ,1               ,0
993  ,59948,1 ,0  ,0   ,10   ,752     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,35       ,0         ,8       ,31    ,14     ,55       ,35       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,74 ,125,143,108,157,138,167,22 ,1      ,1      ,0      ,0      ,1      ,1               ,0
443  ,50408,1 ,0  ,0   ,4    ,218     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,35       ,0         ,8       ,31    ,14     ,55       ,35       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,23 ,1  ,77 ,21 ,157,138,20 ,97 ,1      ,1      ,0      ,0      ,1      ,1               ,0
443  ,55456,1 ,0  ,0   ,6577 ,9499310 ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,36       ,0         ,8       ,31    ,14     ,55       ,36       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,173,194,182,170,157,138,110,129,1      ,1      ,0      ,0      ,1      ,1               ,0
443  ,62115,1 ,0  ,4   ,4    ,218     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,36       ,0         ,8       ,31    ,14     ,55       ,36       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,87 ,248,119,252,157,138,65 ,127,1      ,1      ,0      ,0      ,1      ,1               ,0
443  ,63242,1 ,0  ,0   ,34   ,6729    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,37       ,0         ,8       ,31    ,14     ,55       ,37       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,180,170,157,138,130,175,1      ,1      ,0      ,0      ,0      ,1               ,0
443  ,56820,2 ,0  ,0   ,29   ,5864    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,37       ,0         ,8       ,31    ,14     ,55       ,37       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,184,78 ,157,138,167,44 ,0      ,0      ,0      ,0      ,0      ,1               ,0
